Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-10-27,0 days 07:30:00.000000000,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,"20,562",,0,1
2009-10-27,0 days 08:30:00.000000000,Washington Wizards,102,Dallas Mavericks,91,Box Score,,"19,871",,0,1
2009-10-27,0 days 10:00:00.000000000,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,"20,403",,1,0
2009-10-27,0 days 10:30:00.000000000,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,"18,997",,1,0
2009-10-28,0 days 07:00:00.000000000,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,"17,998",,1,0
2009-10-28,0 days 07:00:00.000000000,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,"17,461",,1,0
2009-10-28,0 days 07:00:00.000000000,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,"20,152",,1,0
2009-10-28,0 days 07:30:00.000000000,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,"18,624",,1,0
2009-10-28,0 days 07:30:00.000000000,New York Knicks,93,Miami Heat,115,Box Score,,"19,600",,1,0
2009-10-28,0 days 08:00:00.000000000,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,"17,212",,0,1
2009-10-28,0 days 08:00:00.000000000,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,"18,358",,1,0
2009-10-28,0 days 08:00:00.000000000,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,"18,203",,1,0
2009-10-28,0 days 08:00:00.000000000,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,"18,581",,1,0
2009-10-28,0 days 10:30:00.000000000,Utah Jazz,105,Denver Nuggets,114,Box Score,,"19,155",,1,0
2009-10-28,0 days 10:30:00.000000000,Houston Rockets,108,Golden State Warriors,107,Box Score,,"19,596",,0,1
2009-10-28,0 days 10:30:00.000000000,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,"15,974",,0,1
2009-10-29,0 days 08:00:00.000000000,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,"21,412",,1,0
2009-10-29,0 days 10:30:00.000000000,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,"20,218",,0,1
2009-10-30,0 days 07:00:00.000000000,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,"18,624",,1,0
2009-10-30,0 days 07:00:00.000000000,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,"14,638",,1,0
2009-10-30,0 days 07:30:00.000000000,Washington Wizards,89,Atlanta Hawks,100,Box Score,,"17,079",,1,0
2009-10-30,0 days 08:00:00.000000000,Chicago Bulls,90,Boston Celtics,118,Box Score,,"18,624",,1,0
2009-10-30,0 days 08:00:00.000000000,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,"22,076",,0,1
2009-10-30,0 days 08:00:00.000000000,Miami Heat,96,Indiana Pacers,83,Box Score,,"18,165",,0,1
2009-10-30,0 days 08:00:00.000000000,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,"10,563",,1,0
2009-10-30,0 days 08:00:00.000000000,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,"19,356",,0,1
2009-10-30,0 days 08:00:00.000000000,Orlando Magic,95,New Jersey Nets,85,Box Score,,"17,525",,0,1
2009-10-30,0 days 08:00:00.000000000,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,"17,306",,1,0
2009-10-30,0 days 09:00:00.000000000,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,"19,911",,1,0
2009-10-30,0 days 10:00:00.000000000,Golden State Warriors,101,Phoenix Suns,123,Box Score,,"18,422",,1,0
2009-10-30,0 days 10:30:00.000000000,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,"18,997",,0,1
2009-10-31,0 days 07:00:00.000000000,New Jersey Nets,104,Washington Wizards,123,Box Score,,"20,173",,1,0
2009-10-31,0 days 07:30:00.000000000,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,"20,562",,1,0
2009-10-31,0 days 07:30:00.000000000,Philadelphia 76ers,141,New York Knicks,127,Box Score,OT,"19,763",,0,1
2009-10-31,0 days 08:30:00.000000000,Portland Trail Blazers,107,Houston Rockets,111,Box Score,,"18,100",,1,0
2009-10-31,0 days 08:30:00.000000000,Detroit Pistons,85,Milwaukee Bucks,96,Box Score,,"15,095",,1,0
2009-10-31,0 days 08:30:00.000000000,Sacramento Kings,94,San Antonio Spurs,113,Box Score,,"16,966",,1,0
2009-10-31,0 days 10:30:00.000000000,Dallas Mavericks,93,Los Angeles Clippers,84,Box Score,,"13,626",,0,1
2009-11-01,0 days 01:00:00.000000000,Orlando Magic,125,Toronto Raptors,116,Box Score,,"18,147",,0,1
2009-11-01,0 days 06:00:00.000000000,New Orleans Hornets,87,Boston Celtics,97,Box Score,,"18,624",,1,0
2009-11-01,0 days 06:00:00.000000000,Chicago Bulls,87,Miami Heat,95,Box Score,,"15,865",,1,0
2009-11-01,0 days 07:00:00.000000000,Portland Trail Blazers,83,Oklahoma City Thunder,74,Box Score,,"16,920",,0,1
2009-11-01,0 days 08:00:00.000000000,Memphis Grizzlies,123,Denver Nuggets,133,Box Score,,"15,823",,1,0
2009-11-01,0 days 08:00:00.000000000,Minnesota Timberwolves,112,Phoenix Suns,120,Box Score,,"15,376",,1,0
2009-11-01,0 days 09:30:00.000000000,Atlanta Hawks,110,Los Angeles Lakers,118,Box Score,,"18,997",,1,0
2009-11-02,0 days 07:00:00.000000000,New Jersey Nets,68,Charlotte Bobcats,79,Box Score,,"9,380",,1,0
